"The number of entries per field is limited to 10 for this overview."

ID,Name,"Collection number"
72,"Bacillus phage phi 3T","HER 349"
73,"Bacillus phage SP16","HER 348"
74,"Bacillus phage PBS1","HER 97"
75,"Bacillus phage SP-15","HER 130"
76,"Bacillus phage SP8","HER 147;ATCC 15563-B1"
77,"Bacillus phage SP10","HER 148;ATCC 23059-B1"
78,"Bacillus phage SPP1","HER 149"
79,"Bacillus phage SP50","HER 174"
80,"Bacillus phage SP beta","HER 175"
81,"Bacillus phage H1","HER 183"
82,"Bacillus phage phi 15","HER 355"
83,"Bacillus phage phi 29","HER 243"
84,"Bacillus phage F","HER 346"
85,"Bacillus phage SN45","HER 392"
86,"Bacillus phage H2","HER 347"
87,"Bacillus phage BS5","HER 395"
88,"Bacillus phage S-a","HER 416"
89,"Bacillus phage CS1","HER 417"
90,"Bacillus phage SPO1","HER 447"
91,"Bacillus phage Bastille","HER 211"
92,"Bacillus phage P400","HER 230"
93,"Bacillus phage Bat1","HER 231"
94,"Bacillus phage Bat5","HER 232"
95,"Bacillus phage PK1","HER 405"
96,"Bacillus phage Bat7","HER 233"
97,"Bacillus phage Bat10","HER 234"
98,"Bacillus phage Bat11","HER 235"
99,"Bacillus phage Bat18","HER 236"
100,"Bacillus phage B.1715V1 ","HER 358"
101,"Bacillus phage Tb10","HER 380"
102,"Bacillus phage Tg4","HER 387"
103,"Bacillus phage DP7 ","HER 404"
104,"Bacillus phage Bam35","HER 410"
105,"Bacillus phage GP-10","HER 418"
106,"Bacillus phage GIL01","HER 460"
107,"Bacillus phage GIL16","HER 461"
108,"Bacillus phage mor 1","HER 78"
109,"Bacteroides phage Bf1","HER 310"
110,"Bordetella phage Ba2","HER 345"
111,"Bordetella phage 8101","HER 296"
112,"Bordetella phage Tohama","HER 278"
113,"Bordetella phage L-1","HER 336"
114,"Brochothrix phage BL3","HER 187"
115,"Brochothrix phage MT","HER 207"
116,"Brochothrix phage A9","HER 208"
117,"Brochothrix phage NF5","HER 188"
118,"Brucella phage Fz","HER 171"
119,"Brucella phage S708","HER 132"
120,"Brucella phage Tb","HER 131;ATCC 23448-B1"
121,"Brucella phage R/C","HER 135"
122,"Brucella phage Bk","HER 134"
123,"Brucella phage Wb","HER 133"
124,"Caulobacter phage phi CbK","HER 377"
125,"Caulobacter phage phi CR30 ","HER 376"
126,"Caulobacter phage cd1","HER 477"
127,"Cellulophaga phage ST","HER 529"
128,"Cellulophaga phage Cba41","HER 530"
129,"Cellulophaga phage Cba181","HER 531"
130,"Clavibacter phage CN11 ","HER 89"
131,"Clavibacter phage CN77 ","HER 90"
132,"Clavibacter phage CN8 ","HER 88"
133,"Clavibacter phage CNRH ","HER 91"
134,"Clavibacter phage CNX","HER 92"
135,"Clostridium phage phi 3626 ","HER 390"
136,"Clostridium phage HM2","HER 179"
137,"Clostridium phage HM3","HER 180"
138,"Clostridium phage HM7","HER 181"
139,"Corynebacterium phage B277 ","HER 295"
140,"Corynebacterium phage omega","HER 189"
141,"Corynebacterium phage beta","HER 356"
142,"Corynebacterium phage Cog ","HER 229;DSM 112146"
143,"Corynebacterium phage CL31 ","HER 360"
144,"Delftia phage phi W-14","HER 145;ATCC 9355-B1"
145,"Enterobacter phage 1","HER 67"
146,"Enterococcus phage 182","HER 80;DSM 112148"
147,"Enterococcus phage VD13","HER 44;DSM 112150;ATCC 29200-B1"
148,"Enterococcus phage VD1884 ","HER 323;DSM 112152"
149,"Enterococcus phage 1","HER 339;DSM 112154"
150,"Erwinia phage PEa 31-2","HER 448"
151,"Erwinia phage Erh1 ","HER 172"
152,"Escherichia phage Esc-7-11","HER 22"
153,"Escherichia phage E920g","HER 41"
154,"Escherichia phage Ebrios","HER 552"
155,"Escherichia phage pt1","HER 42"
156,"Escherichia phage T1","HER 24;ATCC 11303-B1"
157,"Escherichia phage T1UV","HER 468"
158,"Escherichia phage T2","HER 25;ATCC 11303-B2"
159,"Escherichia phage T3","HER 26;ATCC 11303-B3"
160,"Escherichia phage T4","HER 27; ATCC 11303-B4; DSM 4505"
161,"Escherichia phage T5","HER 28;ATCC 11303-B5"
162,"Escherichia phage T6","HER 29;ATCC 11303-B6"
163,"Escherichia phage T7","HER 30;ATCC 11303-B7"
164,"Escherichia phage phi X174 ","HER 36;ATCC 13706-B1"
165,"Escherichia phage BRET","HER 586"
166,"Escherichia phage lambda vir ","HER 37"
167,"Escherichia phage RB69","HER 158"
168,"Escherichia phage N4","HER 77;DSM 112144"
169,"Escherichia phage 121Q","HER 128"
170,"Escherichia phage beta 4Q ","HER 129"
171,"Escherichia phage HK243","HER 139"
172,"Escherichia phage lambda","HER 144"
173,"Escherichia phage BW-1","HER 155"
174,"Escherichia phage Haiti","HER 176"
175,"Escherichia phage I2-2","HER 213"
176,"Escherichia phage PR64FS ","HER 217"
177,"Escherichia phage M","HER 218"
178,"Escherichia phage J","HER 219"
179,"Escherichia phage PR772 ","HER 221"
180,"Escherichia phage C-1","HER 222"
181,"Escherichia phage phi 92","HER 241"
182,"Escherichia phage pilH alpha","HER 240"
183,"Escherichia phage HER252 ","HER 252"
184,"Escherichia phage Mu ","HER 253"
185,"Escherichia phage 1","HER 255"
186,"Escherichia phage 2","HER 256"
187,"Escherichia phage 3","HER 257"
188,"Escherichia phage 4","HER 258"
189,"Escherichia phage 5","HER 259"
190,"Escherichia phage 6","HER 260"
191,"Escherichia phage 7","HER 261"
192,"Escherichia phage 8","HER 262"
193,"Escherichia phage 9","HER 263"
194,"Escherichia phage 10","HER 264"
195,"Escherichia phage 11","HER 265"
196,"Escherichia phage 12","HER 266"
197,"Escherichia phage 13","HER 267"
198,"Escherichia phage 14","HER 268"
199,"Escherichia phage 15","HER 269"
200,"Escherichia phage 16","HER 270"
201,"Escherichia phage H-19J ","HER 275"
202,"Escherichia phage P1kc ","HER 93;ATCC 25404-B1"
203,"Escherichia phage R17","HER 290;ATCC 25868-B1"
204,"Escherichia phage Omega 8 ","HER 315"
205,"Escherichia phage O103 ","HER 337"
206,"Escherichia phage K20","HER 366"
207,"Escherichia phage SS4","HER 364"
208,"Escherichia phage K30","HER 374"
209,"Escherichia phage O9-1 ","HER 375"
210,"Escherichia phage HK97 ","HER 382"
211,"Escherichia phage P1D","HER 393"
212,"Escherichia phage TC4 ","HER 445"
213,"Escherichia phage MB4","HER 446"
214,"Escherichia phage MS2","HER 462"
215,"Escherichia phage MED1","HER 504"
216,"Escherichia phage Alpha3 ","HER 536"
217,"Flavobacterium phage  phi CjT23","HER 326"
218,"Flavobacterium phage phi Cj1","HER 389"
219,"Flavobacterium phage phi Cj27","HER 372"
220,"Flavobacterium phage  phi Cj7","HER 371"
221,"Gluconobacter  phage Werquin","HER 201"
222,"Gordonia phage NJL","HER 298"
223,"Gordonia phage Attis","HER 594"
224,"Gordonia phage Baxterfox","HER 595"
225,"Gordonia phage Demosthenes","HER 587"
226,"Gordonia phage Nymphadora","HER 593"
227,"Gordonia phage Smoothie","HER 588"
228,"Gordonia phage Soups","HER 592"
229,"Gordonia phage Vendetta","HER 590"
230,"Gordonia phage Wizard","HER 589"
231,"Gordonia phage Woes","HER 591"
232,"Haemophilus phage phi Aa17","HER 363"
233,"Haemophilus phage HP1","HER 396"
234,"Hafnia phage 1672","HER 272"
235,"Halobacterium phage Ja.1","HER 343"
236,"Halobacterium phage S45","HER 237"
237,"Halobacterium phage phi H ","HER 282"
238,"Halobacterium phage phi N","HER 367"
239,"Iodobacter phage phiPlPE","HER 485"
240,"Janthinobacterium phage JX1","HER 215"
241,"Klebsiella phage FC3-99","HER 111"
242,"Klebsiella phage Kl3","HER 173"
243,"Kluyvera phage Kvp1","HER 400"
244,"Kurthia phage 3/K26","HER 159"
245,"Kurthia phage 6/K27","HER 160"
246,"Lactobacillus phage A2","HER 482"
247,"Lactobacillus phage CL1","HER 510"
248,"Lactobacillus phage CL2","HER 511"
249,"Lactobacillus phage PL-1","HER 319"
250,"Lactobacillus phage fri ","HER 325"
251,"Lactococcus phage P001","HER 142"
252,"Lactococcus phage 949","HER 204"
253,"Lactococcus phage c6A","HER 338"
254,"Lactococcus phage P087","HER 361"
255,"Lactococcus phage P107","HER 362"
256,"Lactococcus phage BK5-T","HER 378"
257,"Lactococcus phage c2","HER 440"
258,"Lactococcus phage p2","HER 457"
259,"Lactococcus phage sk1","HER 439"
260,"Lactococcus phage ul36","HER 441"
261,"Lactococcus phage bIL170","HER 450"
262,"Lactococcus phage bIL67","HER 449"
263,"Lactococcus phage Q54","HER 454"
264,"Lactococcus phage 1706","HER 455"
265,"Lactococcus phage P335","HER 463"
266,"Lactococcus phage Tuc2009","HER 464"
267,"Lactococcus phage r1t","HER 465"
268,"Lactococcus phage 936","HER 203"
269,"Lactococcus phage 1358","HER 205"
270,"Lactococcus phage KSY1","HER 248"
271,"Lactococcus phage P008","HER 228"
272,"Lactococcus phage P270","HER 302"
273,"Lactococcus phage P369","HER 303"
274,"Lactococcus phage 1483","HER 344"
275,"Leuconostoc phage pro2","HER 273"
276,"Leuconostoc phage phi 400","HER 286"
277,"Listeria phage 4211","HER 35"
278,"Listeria phage 2685","HER 34"
279,"Listeria phage 2671","HER 82"
280,"Listeria phage 2389","HER 83"
281,"Listeria phage H387","HER 184"
282,"Listeria phage phi LMUP35","HER 247"
283,"Listeria phage A511","HER 394"
284,"Listeria phage P70","HER 537"
285,"Marine bacterium phage H7/2 ","HER 320"
286,"Marine bacterium phage H100/1","HER 321"
287,"Marine bacterium phage H106/1","HER 322"
288,"Marine bacterium phage 11-68C","HER 327"
289,"Marine bacterium phage H105/1","HER 328"
290,"Mesorhizobium phage 2037/1","HER 152"
291,"Micrococcus phage N1","HER 194"
292,"Micrococcus phage N5","HER 157;ATCC 15800"
293,"Mycobacterium phage Baits","HER 329"
294,"Mycobacterium phage I3","HER 202"
295,"Geobacillus phage GVE3","HER 549"
296,"Mycobacterium phage Bignuz","HER 538"
297,"Mycobacterium phage Bron","HER 539"
298,"Mycobacterium phage Charlie","HER 540"
299,"Mycobacterium phage Che8","HER 541"
300,"Mycobacterium phage Che9","HER 542"
301,"Mycobacterium phage CJW 1","HER 543"
302,"Mycobacterium phage Corndog","HER 544"
303,"Mycobacterium phage Halo","HER 545"
304,"Mycobacterium phage Omega","HER 546"
305,"Mycobacterium phage Pg1","HER 547"
306,"Mycobacterium phage TM4","HER 548"
307,"Mycobacterium phage 33D (Warsaw)","HER 317"
308,"Mycobacterium phage BK1","HER 330"
309,"Mycobacterium phage Bo4","HER 384"
310,"Mycobacterium phage Clark","HER 333"
311,"Mycobacterium phage D29","HER 383"
312,"Mycobacterium phage DNAIII","HER 335"
313,"Mycobacterium phage L5","HER 386"
314,"Mycobacterium phage Legendre","HER 334"
315,"Mycobacterium phage Leo","HER 331"
316,"Mycobacterium phage Roy","HER 316"
317,"Mycobacterium phage Sedge","HER 332"
318,"Mycobacterium phage Wiseman","HER 385"
319,"Oenococcus phage Lco22","HER 274"
320,"Oerskovia phage O2","HER 476"
321,"Paenibacillus phage PBLO.5c","HER 341"
322,"Paenibacillus phage Ipy-1","HER 246"
323,"Paenibacillus phage SPy-2","HER 206"
324,"Paenibacillus phage Spy-3","HER 379"
325,"Pasteurella phage 32","HER 136"
326,"Proteus phage 13/3a","HER 94"
327,"Pseudoalteromonas phage PM2","HER 254;ATCC 27025-B1"
328,"Pseudomonas phage 7 Lindberg","HER 1"
329,"Pseudomonas phage 16 Lindberg","HER 2"
330,"Pseudomonas phage 24 Lindberg","HER 4"
331,"Pseudomonas phage F7 Lindberg","HER 9"
332,"Pseudomonas phage 31 Lindberg","HER 5"
333,"Pseudomonas phage 44 Lindberg","HER 6"
334,"Pseudomonas phage 68 Lindberg","HER 7"
335,"Pseudomonas phage 73 Lindberg","HER 8"
336,"Pseudomonas phage F8 Lindberg","HER 10"
337,"Pseudomonas phage HER413","HER 413"
338,"Pseudomonas phage F10 Lindberg","HER 11"
339,"Pseudomonas phage 109 Lindberg","HER 12"
340,"Pseudomonas phage 119X","HER 13"
341,"Pseudomonas phage 352 Lindberg","HER 14"
342,"Pseudomonas phage 1214 Lindberg","HER 15"
343,"Pseudomonas phage M4 Lindberg","HER 16"
344,"Pseudomonas phage M6 Lindberg","HER 17"
345,"Pseudomonas phage 2 Lindberg","HER 271"
346,"Pseudomonas phage D3","HER 245"
347,"Pseudomonas phage E79","HER 359"
348,"Pseudomonas phage F116L","HER 18"
349,"Pseudomonas phage D3112","HER 288"
350,"Pseudomonas phage PB-1","HER 146"
351,"Pseudomonas phage phi KZ","HER 153"
352,"Pseudomonas phage 21 Lindberg","HER 3"
353,"Pseudomonas phage PA5oct","HER 483"
354,"Pseudomonas phage phi PLS27","HER 200"
355,"Pseudomonas phage HER 224","HER 224"
356,"Pseudomonas phage PS17","HER 352"
357,"Pseudomonas phage Ab03","HER 556"
358,"Pseudomonas phage Ab04","HER 557"
359,"Pseudomonas phage Ab05","HER 558"
360,"Pseudomonas phage Ab06","HER 559"
361,"Pseudomonas phage Ab09","HER 560"
362,"Pseudomonas phage Ab11","HER 561"
363,"Pseudomonas phage Ab17","HER 562"
364,"Pseudomonas phage Ab18","HER 563"
365,"Pseudomonas phage Ab19","HER 564"
366,"Pseudomonas phage Ab20","HER 565"
367,"Pseudomonas phage Ab27","HER 566"
368,"Pseudomonas phage AB28","HER 568"
369,"Pseudomonas phage Ab29","HER 569"
370,"Pseudomonas phage Ab30","HER 570"
371,"Pseudomonas phage phiC725A","HER 567"
372,"Pseudomonas phage PP7","HER 369"
373,"Pseudomonas phage Pf1","HER 391"
374,"Pseudomonas phage LIT1","HER 526"
375,"Pseudomonas phage LUZ24","HER 527"
376,"Pseudomonas phage ","HER 574"
377,"Pseudomonas phage AB08","HER 572"
378,"Pseudomonas phage Ab1","HER 571"
379,"Pseudomonas phage AB10","HER 573"
380,"Pseudomonas phage Ab22","HER 575"
381,"Pseudomonas phage Or1","HER 576"
382,"Pseudomonas phage 2P1","HER 578"
383,"Pseudomonas phage LeviOr01","HER 580"
384,"Pseudomonas phage P3P1","HER 577"
385,"Pseudomonas phage PII10A","HER 579"
386,"Pseudomonas phage ","HER 582"
387,"Pseudomonas phage ","HER 583"
388,"Pseudomonas phage ","HER 584"
389,"Pseudomonas phage ","HER 585"
390,"Pseudomonas phage Ab26","HER 581"
391,"Pseudomonas phage P10","HER 444"
392,"Pseudomonas phage gh-1","HER 353"
393,"Pseudomonas phage LU11","HER 443"
394,"Pseudomonas phage phi 6","HER 102"
395,"Pseudomonas phage phi 13","HER 420"
396,"Pseudomonas phage phi 8","HER 419"
397,"Rhizobium phage phi gal-1/ow","HER 197"
398,"Rhizobium phage phi gal-1/R","HER 196"
399,"Rhizobium phage phi gal-3/ow","HER 199"
400,"Rhizobium phage phi gal-3/R","HER 198"
401,"Rhodobacter phage RcCronus","HER 553"
402,"Rhodobacter phage RcTitan","HER 554"
403,"Rhodobacter phage RS1","HER 277"
404,"Rhodobacter phage phi RsG1","HER 297"
405,"Rhodococcus phage phi EC","HER 186"
406,"Saccharopolyspora phage 121","HER 370"
407,"Saccharopolyspora phage phi FR114","HER 301"
408,"Salinivibrio phage G3","HER 407;ATCC 49780-B1"
409,"Salinivibrio phage UTAK","HER 412"
410,"Salmonella phage epsilon 15","HER 68"
411,"Salmonella phage Sab2","HER 340"
412,"Salmonella phage chi","HER 95"
413,"Salmonella phage P22","HER 161"
414,"Salmonella phage PRD1","HER 23"
415,"Salmonella phage 1 heidelberg","HER 428"
416,"Salmonella phage 2 heidelberg","HER 429"
417,"Salmonella phage 3 heidelberg","HER 430"
418,"Salmonella phage 4 heidelberg","HER 431"
419,"Salmonella phage 5 heidelberg","HER 432"
420,"Salmonella phage 6 heidelberg","HER 433"
421,"Salmonella phage 7 heidelberg","HER 434"
422,"Salmonella phage 8 heidelberg","HER 435"
423,"Salmonella phage 9 heidelberg","HER 436"
424,"Salmonella phage 10 heidelberg","HER 437"
425,"Salmonella phage 11 heidelberg","HER 438"
426,"Salmonella phage 16-19","HER 20;ATCC 27869-B2"
427,"Salmonella phage 7-11","HER 19;ATCC 27869-B1"
428,"Salmonella phage 9266Q","HER 21"
429,"Salmonella phage 2.5A","HER 185"
430,"Salmonella phage Jersey","HER 45"
431,"Salmonella phage Beccles","HER 220"
432,"Salmonella phage SasL4","HER 397"
433,"Salmonella phage Sas L6","HER 415"
434,"Salmonella phage O1","HER 40"
435,"Salmonella phage Vil","HER 38;ATCC 27870-B1"
436,"Salmonella phage Vill","HER 39"
437,"Salmonella phage S16","HER 535"
438,"Serratia phage 290F","HER 170"
439,"Serratia phage Y","HER 304"
440,"Serratia phage kappa","HER 306"
441,"Serratia phage Psi","HER 305"
442,"Serratia phage eta","HER 313"
443,"Serratia phage pi","HER 311"
444,"Serratia phage sigma","HER 312"
445,"Serratia phage 3M","HER 421"
446,"Serratia phage K19Q","HER 426"
447,"Shigella phage C16","HER 43"
448,"Shigella phage P2","HER 31"
449,"Sinorhizobium phage NM1","HER 79"
450,"Sinorhizobium phage 1 Lesley","HER 112"
451,"Sinorhizobium phage T1 Lesley","HER 113"
452,"Sinorhizobium phage 7a Lesley","HER 114"
453,"Sinorhizobium phage 27 Lesley","HER 115"
454,"Sinorhizobium phage 43 Lesley","HER 116"
455,"Sinorhizobium phage N2 Lesley","HER 117"
456,"Sinorhizobium phage N3 Lesley","HER 118"
457,"Sinorhizobium phage N4 Lesley","HER 119"
458,"Sinorhizobium phage N9 Lesley","HER 120"
459,"Sinorhizobium phage A3 Lesley","HER 121"
460,"Sinorhizobium phage A8 Lesley","HER 122"
461,"Sinorhizobium phage M3 Lesley","HER 123"
462,"Sinorhizobium phage M4 Lesley","HER 124"
463,"Sinorhizobium phage M5 Lesley","HER 125"
464,"Sinorhizobium phage 70 Lesley","HER 126"
465,"Sinorhizobium phage phi 4","HER 177"
466,"Sinorhizobium phage phi 10","HER 178"
467,"Sinorhizobium phage CM1","HER 250"
468,"Sinorhizobium phage MM1H","HER 291"
469,"Sinorhizobium phage phi M11S","HER 318"
470,"Sphingomonas phage PAU","HER 398"
471,"Staphylococcus phage P68","HER 49"
472,"Staphylococcus phage 44AHJD","HER 101"
473,"Staphylococcus phage 3A","HER 225"
474,"Staphylococcus phage 77","HER 226"
475,"Staphylococcus phage 71","HER 238"
476,"Staphylococcus phage 187","HER 239"
477,"Staphylococcus phage CS1","HER 466"
478,"Staphylococcus phage DW2","HER 467"
479,"Staphylococcus phage K","HER 474"
480,"Staphylococcus phage 812","HER 475"
481,"Staphylococcus phage Remus","HER 528"
482,"Staphylococcus phage BaSTC2","HER 381"
483,"Staphylococcus phage 392","HER 292"
484,"Staphylococcus phage 6ec","HER 555"
485,"Staphylococcus phage Twort","HER 48"
486,"Staphylococcus phage 2638A","HER 283"
487,"Staphylococcus phage 1139","HER 293"
488,"Staphylococcus phage 1154A","HER 294"
489,"Stenotrophomonas phage XMM1","HER 76"
490,"Streptococcus phage a/C7","HER 244"
491,"Streptococcus phage M102","HER 456"
492,"Streptococcus phage M102AD","HER 503"
493,"Streptococcus phage Cp-1 (SOCP)","HER 223"
494,"Streptococcus phage Dp-1","HER 509"
495,"Streptococcus phage MS1","HER 532"
496,"Streptococcus phage Ba 24","HER 81"
497,"Streptococcus phage DT1","HER 368"
498,"Streptococcus phage Q1","HER 442"
499,"Streptococcus phage 2972","HER 458"
500,"Streptococcus phage 858","HER 459"
501,"Streptococcus phage ALQ13.2","HER 478"
502,"Streptococcus phage phi Abc2","HER 479"
503,"Streptomyces phage CPC","HER 324"
504,"Streptomyces phage 17","HER 287"
505,"Streptomyces phage SLE111","HER 284"
506,"Streptomyces phage phi C31","HER 285"
507,"Streptomyces phage MSP2","HER 195"
508,"Thermus phage  psi YS40","HER 473"
509,"Veillonella phage N2","HER 342"
510,"Vibrio phage alpha 3A","HER 137"
511,"Vibrio phage Beta","HER 57"
512,"Vibrio phage 138","HER 52;ATCC 14100-B1"
513,"Vibrio phage 16","HER 63"
514,"Vibrio phage 24","HER 64"
515,"Vibrio phage I","HER 51;ATCC 14100-B1"
516,"Vibrio phage III","HER 53;ATCC 14100-B2"
517,"Vibrio phage IV","HER 54;ATCC 14100-B3"
518,"Vibrio phage X29","HER 66"
519,"Vibrio phage Kappa","HER 65"
520,"Vibrio phage 4996","HER 60"
521,"Vibrio phage 57","HER 59"
522,"Vibrio phage e4","HER 55"
523,"Vibrio phage e5","HER 56"
524,"Vibrio phage 13","HER 61"
525,"Vibrio phage 14","HER 62"
526,"Vibrio phage 32","HER 58"
527,"Vibrio phage CP-T1","HER 373"
528,"Vibrio phage 493","HER 354"
529,"Vibrio phage nt-1","HER 150"
530,"Vibrio phage nt-6","HER 138"
531,"Vibrio phage VP1","HER 165"
532,"Vibrio phage VP11","HER 167"
533,"Vibrio phage VP12","HER 168"
534,"Vibrio phage VP6","HER 166"
535,"Vibrio phage VP5","HER 169"
536,"Vibrio phage KVP20","HER 299"
537,"Vibrio phage KVP40","HER 193"
538,"Vibrio phage Vf33","HER 280"
539,"Vibrio phage phi 16","HER 307"
540,"Vibrio phage phi HAWI-5","HER 308"
541,"Vibrio phage phi PEL8C-1","HER 309"
542,"Vibrio phage 71A-6","HER 289"
543,XanthomonasHXX,"HER 103;ATCC 33440-B1"
544,"Xanthomonas phage XP12","HER 154"
545,"Yersinia phage 2/F2852-76","HER 69"
546,"Yersinia phage 4/1334-76","HER 71"
547,"Yersinia phage 3/M64-76","HER 70"
548,"Yersinia phage 5/C394-76","HER 72"
549,"Yersinia phage 6/C753-75","HER 73 "
550,"Yersinia phage 7/F783-76","HER 74"
551,"Yersinia phage 8/C239-76","HER 75"
552,"Yersinia phage phi YeO3-12","HER 249"
553,"Yersinia phage A41","HER 300"
554,"Staphylococcus aureus bacteriophage","NCTC 9858"
555,"Staphylococcus aureus bacteriophage","NCTC 9857"
556,"Staphylococcus aureus bacteriophage","NCTC 9856"
557,"Staphylococcus aureus bacteriophage","NCTC 9788"
558,"Staphylococcus aureus bacteriophage","NCTC 9753"
559,"Staphylococcus aureus bacteriophage","NCTC 9716"
560,"Staphylococcus aureus bacteriophage","NCTC 9319"
561,"Staphylococcus aureus bacteriophage","NCTC 9316"
562,"Staphylococcus aureus bacteriophage","NCTC 9314"
563,"Staphylococcus aureus bacteriophage","NCTC 9312"
564,"Staphylococcus aureus bacteriophage","NCTC 9310"
565,"Staphylococcus aureus bacteriophage","NCTC 9308"
566,"Staphylococcus aureus bacteriophage","NCTC 9304"
567,"Staphylococcus aureus bacteriophage","NCTC 9300"
568,"Staphylococcus aureus bacteriophage","NCTC 8430"
569,"Staphylococcus aureus bacteriophage","NCTC 8429"
570,"Staphylococcus aureus bacteriophage","NCTC 8428"
571,"Staphylococcus aureus bacteriophage","NCTC 8427"
572,"Staphylococcus aureus bacteriophage","NCTC 8426"
573,"Staphylococcus aureus bacteriophage","NCTC 8425"
574,"Staphylococcus aureus bacteriophage","NCTC 8424"
575,"Staphylococcus aureus bacteriophage","NCTC 8422"
576,"Staphylococcus aureus bacteriophage","NCTC 8421"
577,"Staphylococcus aureus bacteriophage","NCTC 8420"
578,"Staphylococcus aureus bacteriophage","NCTC 8419"
579,"Staphylococcus aureus bacteriophage","NCTC 8418"
580,"Staphylococcus aureus bacteriophage","NCTC 8417"
581,"Staphylococcus aureus bacteriophage","NCTC 8416"
582,"Staphylococcus aureus bacteriophage","NCTC 8415"
583,"Staphylococcus aureus bacteriophage","NCTC 8413"
584,"Staphylococcus aureus bacteriophage","NCTC 8412"
585,"Staphylococcus aureus bacteriophage","NCTC 8411"
586,"Staphylococcus aureus bacteriophage","NCTC 8410"
587,"Staphylococcus aureus bacteriophage","NCTC 8409"
588,"Staphylococcus aureus bacteriophage","NCTC 8408"
589,"Staphylococcus aureus bacteriophage","NCTC 8406"
590,"Staphylococcus aureus bacteriophage","NCTC 8405"
591,"Staphylococcus aureus bacteriophage","NCTC 8404"
592,"Staphylococcus aureus bacteriophage","NCTC 8403"
593,"Staphylococcus aureus bacteriophage","NCTC 8401"
594,"Staphylococcus aureus bacteriophage","NCTC 8293"
595,"Staphylococcus aureus bacteriophage","NCTC 8291"
596,"Staphylococcus aureus bacteriophage","NCTC 8290"
597,"Staphylococcus aureus bacteriophage","NCTC 8289"
598,"Staphylococcus aureus bacteriophage","NCTC 8287"
599,"Staphylococcus aureus bacteriophage","NCTC 7814"
600,"Campylobacter coli bacteriophage","NCTC 12684"
601,"Campylobacter coli bacteriophage","NCTC 12683"
